screen,src_file,src_line,function,add_func,symbol,args,guards,rt_seen,rt_hit_count,rt_type,rt_x1,rt_y1,rt_x2,rt_y2,rt_click_cx,rt_click_cy,rt_hotkey,rt_hotkey_name,rt_help,rt_origin
Spellbook_Screen,MoM/src/SBookScr.c,212,Spellbook_Screen,Add_Hidden_Field,spellbook_pages[(itr_spellbook_page_fields+0)],"(x_start + 16), (y_start + (itr_spellbook_page_fields * 22) + 17), (x_start + MAX_ITEM_COUNT), (y_start + (itr_spellbook_page_fields * 22) + 34), 0, ST_UNDEFINED",,0,0,,,,,,,,,,,
Spellbook_Screen,MoM/src/SBookScr.c,217,Spellbook_Screen,Add_Hidden_Field,spellbook_pages[(itr_spellbook_page_fields+6)],"(x_start + 148), (y_start + (itr_spellbook_page_fields * 22) + 17), (x_start + 268), (y_start + (itr_spellbook_page_fields * 22) + 34), 0, ST_UNDEFINED",,0,0,,,,,,,,,,,
Spellbook_Screen,MoM/src/SBookScr.c,220,Spellbook_Screen,Add_Hidden_Field,hotkey_ESC,"x_start + 159, y_start + 154, x_start + 177, y_start + 183, ST_UNDEFINED, ST_UNDEFINED",,0,0,,,,,,,,,,,
Spellbook_Screen,MoM/src/SBookScr.c,221,Spellbook_Screen,Add_Hidden_Field,hotkey_F,"x_start + 259, y_start + 2, x_start + 272, y_start + 15, 'F', ST_UNDEFINED",,0,0,,,,,,,,,,,
Spellbook_Screen,MoM/src/SBookScr.c,222,Spellbook_Screen,Add_Hidden_Field,hotkey_B,"x_start + 13, y_start + 2, x_start + 26, y_start + 14, 'B', ST_UNDEFINED",,0,0,,,,,,,,,,,
Spellbook_Screen,MoM/src/SBookScr.c,405,Spellbook_Screen,Add_Hidden_Field,spellbook_pages[(0+itr_spellbook_page_fields)],"(x_start + 16), (y_start + (itr_spellbook_page_fields * 22) + 17), (x_start + MAX_ITEM_COUNT), (y_start + (itr_spellbook_page_fields * 22) + 34), 0, ST_UNDEFINED",,0,0,,,,,,,,,,,
Spellbook_Screen,MoM/src/SBookScr.c,409,Spellbook_Screen,Add_Hidden_Field,spellbook_pages[(6+itr_spellbook_page_fields)],"(x_start + 148), (y_start + (itr_spellbook_page_fields * 22) + 17), (x_start + 268), (y_start + (itr_spellbook_page_fields * 22) + 34), 0, ST_UNDEFINED",,0,0,,,,,,,,,,,
Spellbook_Screen,MoM/src/SBookScr.c,411,Spellbook_Screen,Add_Hidden_Field,hotkey_ESC,"x_start + 159, y_start + 154, x_start + 177, y_start + 183, '\x1B', ST_UNDEFINED",,0,0,,,,,,,,,,,
Spellbook_Screen,MoM/src/SBookScr.c,412,Spellbook_Screen,Add_Hidden_Field,hotkey_F,"x_start + 259, y_start + 2, x_start + 272, y_start + 15, 'F', ST_UNDEFINED",,0,0,,,,,,,,,,,
Spellbook_Screen,MoM/src/SBookScr.c,413,Spellbook_Screen,Add_Hidden_Field,hotkey_B,"x_start + 13, y_start + 2, x_start + 26, y_start + 14, 'B', ST_UNDEFINED",,0,0,,,,,,,,,,,
